"","1","2","3","4","5","6","7","8","9"
"Arménie",-1.06228698060371,1.46715983649061,2.48846955661075,-0.853230030533908,-0.367454369926387,-1.38792404334044,1.62248461802905,-0.596858184277084,-0.344596233360406
"Azerbaidjan",-2.46096526189179,-1.31302101625027,-2.0082293585842,-3.77544510043943,-2.26125769198506,6.37012063004981,7.72162864364633,-0.911715936201213,-0.526379441190242
"Belarus",4.62071726505331,-1.53965361689991,-2.35485765821085,-2.6200505140191,-2.28912659032177,-2.48602470955431,4.48782270298114,-1.06908169891009,-0.61723460665144
"Estonie",-1.14429702103123,-0.632629355187166,2.13290049374766,2.57883303218792,-0.711472544891621,-1.02148443761746,-1.43964139447811,-0.43927572955382,-0.253615960706367
"Géorgie",-1.97289913678648,3.68214951956412,6.11084482988347,0.252366503117384,-0.947492285944322,-0.710600588037655,-1.99642341002743,-0.609165833451212,-0.35170205792418
"Kazakhstan",2.00535599982519,0.879267373217226,5.26536329398147,-1.81251220895381,-3.04706637213812,-0.285825747562458,-1.74667731932709,3.3611819929687,-0.64468052100372
"Kirghizstan",1.9152981059126,1.68332525105817,1.20966787566446,-1.87944854044879,-1.8011357970537,1.01245831469902,-0.190186074332854,-0.558309708514208,-0.32234026050186
"Lettonie",-1.67109890010002,-0.784680141639823,1.29954804609679,3.06227598933608,0.517935674074203,-1.26699551106889,-1.78565538267731,-0.54485448526689,-0.314571883738014
"Lithuanie",-2.07126145416326,-1.02309773333862,-0.925740286152659,0.797400198243731,5.56229891221352,-1.65196003662825,-1.46918064993598,-0.710403334167473,-0.410151556214798
"Moldavie",-1.85578161696026,0.079514038156376,6.01376440909559,1.57922358791698,-0.294696970956211,-1.55174625425779,-2.18697227200682,-0.667307736485328,-0.385270301292124
"Ouzbekistan",-3.8517011593626,-1.2304826309459,-2.37135909618671,-5.14506440586673,-4.00823780648791,25.1463034450109,-0.63373992356139,0.367251172589579,-0.717334262530454
"Russie",1.11503626769686,2.33964417167973,-1.43128525351746,0.670910423603039,2.08615659898146,-6.53327062236292,0.606521187353249,-1.8193047001426,1.59700994316945
"Tadjikistan",-1.34498912704799,-0.92844606443102,-0.715823411402137,-2.2950608892638,-1.59895064801288,1.83614002775251,5.93331797057252,-0.64468052100372,-0.372206472342806
"Turkmenistan",-2.53051742074867,-0.92844606443102,-1.4200325976328,-2.66964283251825,-2.07977247455205,7.17257096121657,-1.16621195211621,19.5203463046245,-0.372206472342806
"Ukraine",1.36386823042761,-2.97278271629538,-1.22354978834063,5.42880389794251,2.46320452859599,-5.10370389257573,-4.37583493859403,-2.27603138302497,-0.553071318838705
